slnoskm17mar11,permanentid,y1pccust,inf1pcma,sector,year,ld1pcla,st1pcdev,cs1pccmk,hr3pcsat,pm1pcvc,iirtotal,icat7total
304,,54.05,45.33,1,1993,72.86,60,71.43,40,47.78,528,193
305,,50.27,48,1,1993,67.14,60,51.43,52,68.89,545,155
306,,23.78,32,1,1993,44.29,31.43,51.43,52,48.89,353,98
307,,37.3,52,1,1993,67.14,71.43,60,40,62.22,511,157
308,,54.05,46.67,1,1993,68.57,80,51.43,60,68.89,588,169
309,,50.81,62.67,1,1993,71.43,71.43,71.43,40,72.22,585,167
310,,70.27,66.67,1,1993,77.14,80,71.43,40,74.44,693,225
311,B-177,56.22,41.33,1,1993,60,60,60,52,68.89,514,172
312,,48.11,46.67,1,1993,77.14,60,71.43,52,51.11,504,163
313,,67.03,69.33,1,1993,78.57,80,71.43,44,78.89,682,203
314,,1.62,14.67,1,1993,20,0,11.43,12,27.78,82,7
315,B-028,57.3,61.33,1,1993,80,71.43,60,52,74.44,618,189
316,B-101,60,57.33,1,1993,67.14,51.43,60,60,67.78,571,172
317,B-072,35.68,46.67,1,1993,67.14,51.43,51.43,40,68.89,448,111
318,B-142,54.59,46.67,1,1993,51.43,51.43,60,32,60,440,148
319,B-048,41.62,28,1,1993,67.14,40,51.43,32,52.22,442,122
320,B-064,39.46,54.67,1,1993,64.29,51.43,60,40,64.44,497,132
321,B-093,47.03,60,1,1993,77.14,60,65.71,60,73.33,592,164
322,,30.81,14.67,1,1993,28.57,11.43,20,0,53.33,233,84
323,B-120,56.22,50.67,1,1993,57.14,51.43,51.43,44,71.11,548,171
324,,21.08,20,1,1993,31.43,31.43,40,40,33.33,246,55
325,,55.14,54.67,2,1993,67.14,60,80,52,67.78,614,221
326,B-031,50.81,50.67,2,1993,87.14,60,65.71,64,60,565,181
327,,61.62,53.33,2,1993,61.43,51.43,60,60,62.22,588,186
328,B-024,18.92,33.33,2,1993,60,40,51.43,40,44.44,361,107
329,,55.14,65.33,2,1993,51.43,31.43,60,32,47.78,510,199
330,B-019,68.11,65.33,2,1993,77.14,71.43,80,52,78.89,660,214
331,,62.16,62.67,2,1993,67.14,71.43,60,52,68.89,602,177
332,,41.62,44,2,1993,47.14,51.43,51.43,32,55.56,393,112
333,,61.62,60,2,1993,77.14,60,71.43,40,66.67,632,202
334,,32.97,34.67,2,1993,57.14,60,31.43,32,48.89,342,67
335,,60,60,2,1993,60,71.43,71.43,40,63.33,577,184
336,B-044,60,57.33,2,1993,67.14,71.43,60,60,66.67,603,193
337,,49.19,48,2,1993,57.14,60,60,40,54.44,482,129
338,,37.3,34.67,3,1993,38.57,51.43,60,32,48.89,385,109
339,B-010,68.65,52,3,1993,80,60,60,72,60,667,205
340,B-054,73.51,53.33,3,1993,77.14,60,71.43,60,55.56,667,225
341,,50.27,69.33,3,1993,75.71,71.43,74.29,80,63.33,622,193
342,B-144,45.41,54.67,3,1993,55.71,71.43,60,36,56.67,500,174
343,B-131,10.27,25.33,3,1993,44.29,31.43,31.43,20,41.11,275,79
344,,53.51,52,3,1993,71.43,60,71.43,40,62.22,565,180
345,,1.62,17.33,3,1993,20,20,11.43,20,13.33,115,30
346,,58.38,48,3,1993,68.57,51.43,51.43,52,68.89,510,177
347,,18.92,34.67,3,1993,52.86,51.43,40,32,40,327,85
348,,20,22.67,3,1993,34.29,31.43,31.43,32,47.78,287,83
349,,3.24,14.67,3,1993,27.14,20,20,12,7.78,100,20
350,,11.89,12,3,1993,17.14,20,20,20,24.44,160,54
351,,43.24,30.67,3,1993,71.43,51.43,51.43,40,53.33,450,118
352,,40,37.33,3,1993,51.43,31.43,31.43,32,48.89,378,118
353,,19.46,22.67,3,1993,27.14,31.43,40,20,34.44,256,73
354,,11.89,21.33,3,1993,31.43,31.43,31.43,20,27.78,208,62
355,B-046,36.22,26.67,3,1993,54.29,31.43,31.43,32,47.78,366,120
356,,9.73,25.33,3,1993,44.29,20,31.43,40,34.44,249,77
357,B-194,40,50.67,3,1993,61.43,51.43,45.71,52,51.11,475,135
358,,28.11,14.67,3,1993,52.86,31.43,31.43,20,36.67,288,97
359,B-047,67.57,49.33,3,1993,74.29,60,71.43,56,38.89,549,193
360,,25.41,25.33,3,1993,34.29,31.43,20,32,40,258,62
361,B-122,61.62,53.33,3,1993,71.43,71.43,71.43,60,64.44,640,210
362,,41.08,34.67,3,1993,64.29,40,31.43,40,55.56,430,111
363,B-198,27.57,36,3,1993,60,40,51.43,36,38.89,391,120
364,,34.59,41.33,3,1993,57.14,31.43,40,52,53.33,417,130
365,B-030,47.03,50.67,3,1993,64.29,51.43,40,40,62.22,465,154
366,,9.19,2.67,3,1993,11.43,11.43,11.43,20,24.44,121,35
367,,10.27,22.67,3,1993,20,31.43,20,0,17.78,147,34
368,B-158,35.11,34.67,1,1994,51.43,45.71,54.29,40,60,453,139
369,,36.89,33.33,1,1994,37.14,45.71,20,36,61.11,379,92
370,B-001,56.44,42.67,1,1994,67.14,60,51.43,52,71.11,550,172
371,B-177,60,52,1,1994,71.43,71.43,71.43,32,78.89,594,196
372,B-022,67.11,54.67,1,1994,51.43,51.43,71.43,40,67.78,561,200
373,B-191,60,57.33,1,1994,77.14,71.43,71.43,52,67.78,642,191
